,SETUP,PRE-PROCESSOR,LOCAL SOLVER,MIP SOLVER,TOTAL
chp_shortrermplan1b,12.05,53.85,1.42,1407.98,1475.3
chp_shorttermplan2a,10.78,52.71,1.25,184.33,249.07
chp_shorttermplan2c,27.99,174.4,0,3397.64,3600.03
chp_shorttermplan2d,42.02,399.2,0,3158.83,3600.05
gastrans,0.49,0.69,0,0.09,1.27
hmittelman,0.39,0.08,0,0.04,0.51
hybriddynamic_var,0.33,0.15,0,0.11,0.59
nvs04,0.39,0,0,0.08,0.47
nvs07,0.32,0.01,0,0,0.33
nvs16,0.34,0.04,0,0.04,0.42
nvs21,0.32,0.05,0,0.04,0.41
refinery,1.14,12.96,0.04,12.43,26.57
sfacloc1_2_80,1.64,1.43,0.04,2953.15,2956.26
sfacloc1_2_90,0.7,0.28,0.01,168.64,169.63
sfacloc1_2_95,0.46,0.15,0,24.83,25.44
sfacloc1_3_80,1.79,1.73,0,3596.5,3600.02
sfacloc1_3_90,0.63,0.45,0,3598.93,3600.01
sfacloc1_3_95,0.66,0.3,0,3599.05,3600.01
st_e38,0.41,0.06,0,0.03,0.5
st_e40,0.33,0.03,0,0.17,0.53
transswitch0009r,0.36,0.16,0,3599.5,3600.02
transswitch0030r,0.87,1.72,0,3597.46,3600.05
waterno2_01,0.5,9.95,0,0.07,10.52
waterno2_02,0.65,17.71,0.01,0.48,18.85
waterno2_04,1.18,62.27,0.03,12.41,75.89
waterno2_06,2,182.33,0,3415.69,3600.02
waterno2_09,4.01,940.55,0,2655.45,3600.01
alkyl,1.12,0.01,0,0.09,1.22
arki0005,366.97,3233.11,0,0,3600.08
arki0006,404.79,3195.28,0,0,3600.07
beryllium,0.55,0.81,0,3.26,4.62
ex4_1_1,0.5,0.08,0,0.04,0.62
ex4_1_2,0.35,1.22,0,0,1.57
ex4_1_3,0.41,0.16,0,0,0.57
ex4_1_4,0.39,0.09,0,0.01,0.49
ex4_1_5,0.29,0.52,0,0.01,0.82
ex4_1_6,0.39,0.15,0,0.02,0.56
ex4_1_7,0.31,0.1,0,0,0.41
ex4_1_9,0.35,0.03,0,0.02,0.4
ex7_3_2,0.3,0.13,0,0.05,0.48
ex8_1_7,0.3,0.13,0,0.05,0.48
ex8_4_2,0.35,4.06,0,3595.6,3600.01
ex14_1_2,0.31,0.01,0,0.01,0.33
harker,0.42,2.28,0,0.11,2.81
kall_ellipsoids_tc05a,1.17,80.64,0,3518.58,3600.39
mathopt1,0.41,0.01,0,0.03,0.45
mathopt2,0.29,0.01,0,0,0.3
mathopt5_4,0.31,0.08,0,0.09,0.48
mathopt5_7,0.35,0.16,0,0.03,0.54
mathopt5_8,0.33,0.16,0,0.02,0.51
orth_d3m6,0.62,0.44,0,3598.97,3600.03
orth_d3m6_pl,0.52,0.53,0,3598.96,3600.01
orth_d4m6_pl,0.43,0.34,0,2223.98,2224.75
prob09,0.41,0.01,0,0,0.42
rbrock,0.3,0,0,0.06,0.36
st_e03,0.31,0.01,0,0.09,0.41
st_e19,0.32,0.02,0,0.02,0.36
d7n5R0R6d1d05,1.1,38.74,0,3566.45,3606.29
d7n5R0R6d01d05,0.49,8.5,0.01,1665.25,1674.25
d7n5R0R6d05d05,0.58,6.95,0.04,542.57,550.14
d7n5R0R6d005d05,0.38,3.22,0,27.82,31.42
d7n5R1R6d1d1,0.66,141.13,0,3468.48,3610.27
d7n5R1R6d01d1,0.54,6.32,0.01,110.53,117.4
d7n5R1R6d1d05,0.73,22.04,0.08,2983.61,3006.46
d7n5R1R6d01d05,0.29,4.17,0.01,59.99,64.46
d7n5R1R6d05d1,0.5,22.73,0,3581.99,3605.22
d7n5R1R6d005d1,0.44,6.33,0,73.45,80.22
d7n5R1R6d05d05,0.43,25.08,0.06,2270.11,2295.68
d7n5R1R6d005d05,0.45,5.86,0,33.13,39.44
d7n5R2R6d1d1,0.8,97.59,0,3506.11,3604.5
d7n5R2R6d01d1,0.34,14.84,0.01,329.08,344.27
d7n5R2R6d1d05,0.73,13.38,0.11,1921.78,1936
d7n5R2R6d01d05,0.44,4.57,0.01,108.82,113.84
d7n5R2R6d05d1,0.56,50.71,0.05,1658.56,1709.88
d7n5R2R6d005d1,0.42,6.35,0,50.52,57.29
d7n5R2R6d05d05,0.51,10.55,0.04,2742.21,2753.31
d7n5R2R6d005d05,0.35,3.89,0,50.79,55.03
d6n6R0R6d1d05,0.89,184.25,0,3415.15,3600.29
d6n6R0R6d01d05,0.35,7.56,0.01,112.89,120.81
d6n6R0R6d05d05,0.49,48.36,0.08,663.06,711.99
d6n6R0R6d005d05,0.43,5.52,0.01,64.87,70.83
d6n6R1R6d1d1,0.74,323.91,0,3276.17,3600.82
d6n6R1R6d01d1,0.43,9.33,0.01,1092.5,1102.27
d6n6R1R6d1d05,0.79,202.92,0,3398.09,3601.8
d6n6R1R6d01d05,0.56,8.96,0.02,131.7,141.24
d6n6R1R6d05d1,0.61,64.18,0,3535.31,3600.1
d6n6R1R6d005d1,0.68,9.1,0.01,164.28,174.07
d6n6R1R6d05d05,0.83,33.04,0,3566.64,3600.51
d6n6R1R6d005d05,0.51,15.13,0.01,100.16,115.81
d6n6R3R6d1d1,1.08,701.26,0,2901.68,3604.02
d6n6R3R6d01d1,0.4,19.91,0.01,154.15,174.47
d6n6R3R6d1d05,0.72,432.35,0,3170.06,3603.13
d6n6R3R6d01d05,0.42,32.06,0.01,74.05,106.54
d6n6R3R6d05d1,0.67,44.4,0,3558.7,3603.77
d6n6R3R6d005d1,0.41,21.87,0,6.92,29.2
d6n6R3R6d05d05,0.56,102.7,3419.63,3522.93,7045.82
d6n6R3R6d005d05,0.34,3.75,0.01,51.66,55.76
d5n8R0R6d1d05,1.3,788.04,0,2814.01,3603.35
d5n8R0R6d01d05,0.51,21.79,0.02,127.83,150.15
d5n8R0R6d05d05,1.12,199.85,0,3401.31,3602.28
d5n8R0R6d005d05,0.4,6.14,0.01,19.14,25.69
d5n8R2R6d1d1,1.21,861.98,0,2742.47,3605.66
d5n8R2R6d01d1,0.6,42.42,0.03,250.12,293.17
d5n8R2R6d1d05,1.32,487.71,0,3111.02,3600.05
d5n8R2R6d01d05,0.39,31.41,0.03,698.83,730.66
d5n8R2R6d05d1,0.71,206.63,0,3393.78,3601.12
d5n8R2R6d005d1,0.46,17.99,0.01,46.67,65.13
d5n8R2R6d05d05,0.8,240.68,0,3358.67,3600.15
d5n8R2R6d005d05,0.34,12.4,0.01,64.17,76.92
d5n8R4R6d1d1,1.15,2379.31,0,1219.58,3600.04
d5n8R4R6d01d1,0.52,30.37,0.02,180.61,211.52
d5n8R4R6d1d05,1.27,1617.43,0,1984.79,3603.49
d5n8R4R6d01d05,0.42,23.64,0.03,677.58,701.67
d5n8R4R6d05d1,0.75,493.8,0,3106.86,3601.41
d5n8R4R6d005d1,0.48,19.7,0.01,43.46,63.65
d5n8R4R6d05d05,0.67,656.75,0,2944.58,3602
d5n8R4R6d005d05,0.52,20.73,0.01,51.43,72.69
d4n12R0R7d1d05,1.76,684.93,0,2914.01,3600.7
d4n12R0R7d05d05,1.34,202.75,0.19,1617.03,1821.31
d4n12R3R7d1d1,1.84,1630.93,0,1967.29,3600.06
d4n12R3R7d1d05,1.75,1437.81,0,2160.48,3600.04
d4n12R3R7d05d1,1.03,446.45,0,3152.54,3600.02
d4n12R3R7d05d05,1.16,398.5,0,3200.38,3600.04
d4n12R6R7d1d1,1.85,3623.71,0,0,3625.56
d4n12R6R7d1d05,2.08,3597.97,0,0,3600.05
d4n12R6R7d05d1,1.13,1387,0,2212.89,3601.02
d4n12R6R7d05d05,0.94,547.78,0,3051.35,3600.07
d3n16R0R9d1d05,1.18,75.38,0.22,843.21,919.99
d3n16R4R9d1d05,1.32,369.6,0,3229.16,3600.08
d3n16R8R9d01d1,0.55,5.82,0.02,32.74,39.13
d3n16R8R9d0005d05,0.36,0.19,0,0.51,1.06
tuncphd_19,0.3,0.02,0,0.16,0.48
tuncphd_20,0.29,0.01,0,0.06,0.36
tuncphd_22,0.3,0.01,0,0.07,0.38
tuncphd_23,0.29,0,0,0.23,0.52
tuncphd_24,0.31,0.02,0,0,0.33
tuncphd_27,0.28,0.01,0,0.01,0.3
tuncphd_29,0.32,0.03,0,1.47,1.82
tuncphd_30,0.37,0.01,0,3599.7,3600.08
tuncphd_31,0.36,0.03,0,0.11,0.5
tuncphd_33,0.31,0.01,0,3602.5,3602.82
